Requirement Text,Type
he RFS system should be able to easily interface with the BDW environment in order to load the data. Â¢ 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.,NFR
The system shall be available for use between the hours of 8am and 6pm.,NFR
"The system must manage granular access to data and its associated metadata, including data held securely in a dark archive.",NFR
ystem shall let customers register on the website as a Âpay as you goÂ user in under 5 minutes.,FR
Each change to any of requirement attributes shall be saved into History of Changes,FR
The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,NFR
The user shall enter new ratings based on the audit report,FR
The UIMiddleware shall provide a list of all existing routes,FR
User shall be able to display and hide History panel containing all changes for a selected requirement in the Requirements Table,FR
Movies shall be encoded and streamed via Windows Media Player 9.0.,NFR
User shall be able to show and hide Table of Contents (TOC) containing overall document structure visualized as a tree,FR
The WASP platform must have a (web-based) form to specify simple POI and service profiles.,FR
The user shall be able to get driving directions to a selected property,FR
The realtor shall be able to retrieve a map showing property locations for a specified area,FR
The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,NFR
The user interface shall have standard menus buttons for navigation,NFR
Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.,NFR
The system must allow creation of repository roles with different editing rights.,FR
The VehicleCore shall support virtual UAVs,FR
The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,NFR
"Each comment shall display date, author and the comment description",FR
When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,FR
he system shall use the organization's standard virus protection software to help monitor threats to itself.,NFR
The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,FR
The product shall operate in offline mode whenever internet connection is unavailable.,NFR
The system must offer customisable metadata schema.,NFR
When given two coordinates the CoordinateSystem shall compute the distance between them.,FR
he Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.,FR
If a UAV has pending flight plans  then when it reaches the final waypoint of its current flight plan  the SingleUAVFlightPlanScheduler shall execute the next assigned flight plan.,FR
Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,FR
The leads washing functionality will verify the users authentication and rights to make parameter updates.,FR
The product shall continue to assign turns until the game is ended.,FR
The system shall display Events or Activities.,FR
All movies shall be streamed on demand at any time of the day.,FR
A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,NFR
The product shall display each type of ship in a grid using an image of the specific type of ship.,NFR
"The WASP platform shall allow end-users to give and remove Create, Read, Update, Delete (CRUD) access rights on parts of the user profile to other users, specific WASP applications and the 3G Platform.",FR
The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,NFR
The product shall send a meeting confirmation to the meeting organizer.,FR
The same hardware supporting the current website will be used to support the new system.,NFR
The UIMiddleware shall accept and activate a mission plan upon request.,FR
The product shall have an intuitive user interface.,NFR
he product's Look and Feel shall be able to incorporate aspects of the customer's organization such as logo branding and identity,NFR
The system shall have a MDI form that allows for the viewing of the graph and the data table.,FR
The system will provide a 24 hour 800 toll free number for support to its customers.,NFR
he system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members' planning purposes.,FR
The WASP platform must be able to combine knowledge about the end-user (in terms of profile and context) and a specific information request into a search query on the service registry.,FR
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,FR
ystem shall let customers register on the website as a Âunlimited movie subscriberÂ user in under 10 minutes.,FR
The product will notify employees of meeting invitations.,FR
When a flight plan is executed  the VehicleCore shall send the next waypoint to the UAV.,FR
The RealTimeFlightUI shall allow users to apply flight operations to one or more selected UAVs.,FR
All credit card information will be encrypted in the database.,NFR
The product will be able to delete conference rooms.,FR
If the shot was marked as a miss the product shall change the status of the offensive player to defensive,FR
The website shall continue to operate if the payment gateway goes down.,NFR
The print layout shall have the same layout as the displayed Requirements Table including displayed columns and filtered rows,NFR
The product shall be supported using the corporate support center.,NFR
The WASP platform must be able to show the location of various points of interests on a map.,FR
The product shall allow for customization of start page and views preferences.,NFR
The system must support multiple files types including multimedia.,NFR
The system should support different types of relationship within and between data sets e.g. IsVersionOf; Is Part Of; References etc. and support navigation between related datasets.,FR
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,NFR
User shall be able to import a table from MS Excel,FR
The product shall have a conservative and professional appearance.,NFR
User shall be able to open a document file stored on a local user's drive,FR
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,NFR
The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,NFR
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,NFR
Website must interface with the CyberSource API to process credit card transactions.,NFR
All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,FR
The ActivityLogger shall log all flight plan related events.,FR
The system shall display the local and exercise time in separate clocks,FR
The app shall run on a smart phone with Android OS least version 2.3 .,NFR
"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.",NFR
The icons shall be according to the Android Icon Guidelines.,NFR
The user interfaces shall be according to the Android User Interface Guidelines.,NFR
"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",NFR
"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",NFR
The campus map shall cover the campus of the TU/e.,NFR
The campus map shall cover the central train station of Eindhoven.,NFR
A new stylistic map must have the right dimensions.,NFR
A new stylistic map must be geographically correct.,NFR
News will be restricted to what is available in the feeds on the list of news RSS-feeds.,NFR
Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,NFR
Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,NFR
The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,NFR
The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,NFR
"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",NFR
"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR
"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR
"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR
"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR
"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR
The application requires a GPS connection for functionality.,NFR
Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,NFR
The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,NFR
The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,NFR
"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",NFR
"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",NFR
"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",NFR
"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",NFR
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",NFR
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,NFR
The application should be designed for easy porting between iOS and Android platforms.,NFR
"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",NFR
"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",NFR
â The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The overall accuracy of the Web APIâs response will be measured using a developer-made testing set.,NFR
The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,NFR
The accuracy of the Generic Question Constructionâ part will be close to 80%,NFR
The system will be designed in such a way that the algorithms for the four main units will be easily swapped out.,NFR
"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NFR
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",NFR
"The connection between the Web API and the programs will use HTTPS, for security.",NFR
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR
The search feature should be prominent and easy to find for the user.,NFR
"The different search options should be evident, simple and easy to understand.",NFR
Users should be able to easily understand and select results from the list with just a single click.,NFR
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",NFR
"The information link for each result should be clear, easy to identify, and open with just a single click.",NFR
The user interface should be GUI based.,NFR
The user shall be able to enter data using a cell phone keypad layout.,NFR
Users shall be able to configure settings both locally on the device and remotely. ,NFR
The system shall provide selection menus to minimize the need for manual typing of options.,NFR
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NFR
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,NFR
"The only hazard is a user using the device when they should not be, such as while driving.",NFR
Secure connection to an internal system shall be required for user login and identification.,NFR
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the userâs ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",NFR
"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",NFR
Users shall be able to trust and understand the system through its simplicity and transparency.,NFR
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,NFR
The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,NFR
The system shall allow users to create unverified (anonymous) avatars or aliases.,NFR
"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",NFR
"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",NFR
The system shall support the display of all user interface text elements in both English and Dutch.,NFR
The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,NFR
The system shall allow authorized users to delete sub-apps and their launchers within the main application.,NFR
"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",NFR
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",NFR
"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",NFR
Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,NFR
"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",NFR
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,NFR
Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,NFR
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NFR
"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",NFR
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR
The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,NFR
The accuracy of the Generic Question Constructionâ part will be close to 80%.,NFR
The accuracy of the Generic Answer Constructionâ unit will be close to 70%.,NFR
The accuracy of the Generic Answer Populationâ unit will be close to 70%.,NFR
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",NFR
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",NFR
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical. ",NFR
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future. ,NFR
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",NFR
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",NFR
All text elements in the user interfaces shall be presented in the selected language.,FR
The system shall support the English language.,FR
The system shall support Dutch as a user interface language.,FR
Sub-apps and their launchers shall be added to the main app by a qualified programmer.,FR
Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,FR
"System shall be able to change the colors used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the fonts used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the icons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the buttons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the background used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
"System shall be able to change the text elements used in the user interfaces of the sub-apps and main application, excluding external resources.",FR
The system shall restrict language selection to the main application.,FR
The default language of insErtion will be English.,FR
The system shall display a launcher to the Map-app version 3.1.3 on the main menu.,FR
The system shall display a launcher to the News-app version 3.1.4 on the main menu.,FR
The system shall display a launcher to the Agenda-app version 3.1.5 on the main menu.,FR
The system shall display a launcher to the Facebook-app version 3.1.9 on the main menu.,FR
The system shall display a launcher to the Twitter-app version 3.1.10 on the main menu.,FR
The system shall display a launcher to the Employee-finder-app version 3.1.6 on the main menu.,FR
"The system shall conditionally display a launcher to the Encyclopedia-app on the main menu, only when the Dutch language is selected.",FR
"The system shall conditionally display a launcher to the Student handbook-app on the main menu, only when the Dutch language is selected.",FR
The system shall be able to like insApption from the main menu.,FR
The system shall be able to tweet about insApption from the main menu.,FR
The system shall provide a link to the Twitter settings menu.,FR
The system shall provide a link to the Facebook settings menu.,FR
"In the Twitter settings menu, the user shall be able to save their username and password for Twitter.",FR
"In the Facebook settings menu, the user shall be able to save their username and password for Facebook.",FR
"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",FR
"In the Facebook settings menu, the system shall allow the user to delete their saved username and password for Facebook.",FR
System shall be able to modify the appearance of the separate launchers.,FR
System shall be able to search for a certain building on the campus of the TU/e by name.,FR
System shall be able to search for a certain building on the campus of the TU/e by address.,FR
System shall be able to search for a certain POI on the campus of the TU/e by name.,FR
System shall be able to display a set of buildings that match the search input for queries described in requirements UCR201 and UCA202.,FR
System shall be able to display a set of POI's that match the search input when a user performs a search by name.,FR
"System shall be able to display an element from the search result (buildings or POIs) in the map view, following requirements UCAR201, UCAR202, and UCAR203.",FR
System shall be able to navigate between buildings on the campus.,FR
System shall be able to navigate from a building to a POI on the campus.,FR
System shall be able to navigate from a POI to a building on the campus.,FR
System shall be able to navigate between POIs on the campus.,FR
"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",FR
System shall be able to navigate from a street on the campus to another location on the campus.,FR
System shall be able to switch between different means of transportation while navigating.,FR
System shall be able to search for the from-location by the name of a building.,FR
System shall be able to search for the from-location by the address of a building.,FR
System shall be able to search for the from-location by the name of a POI.,FR
System shall allow selecting the from-location from the search results obtained based on requirements UCAR211 and UCAR212 (presumably for building and POI searches).,FR
System shall be able to allow selecting the from-location on the map.,FR
System shall be able to search for the to-location by the name of a building.,FR
System shall be able to search for the to-location by the address of a building.,FR
System shall be able to search for the to-location by the name of a POI.,FR
System shall allow selecting the to-location from the search results obtained based on requirements UCAR215 and UCAR216 (presumably for building and POI searches).,FR
System shall be able to allow selecting the to-location on the map.,FR
System shall be able to show the route planned by the navigator in the map view.,FR
System shall display a stylistic map view in the application.,FR
System shall display a satellite map view in the application.,FR
System shall be able to allow users to switch between the stylistic and satellite map views.,FR
System shall be able to allow users to zoom in and out of the map view.,FR
System shall be able to allow users to pan around the map view.,FR
System shall: Show the user's current location on the map view.,FR
System shall be able to indicate POIs of a building.,FR
System shall be able to allow users to tweet their current location.,FR
System shall be able to allow users to change their Facebook status to include their current location.,FR
Administrators shall be able to change the stylistic map.,FR
Administrators shall be able to add buildings.,FR
Administrators shall be able to remove buildings.,FR
Administrators shall be able to add vertices to paths used in the route planner.,FR
Administrators shall be able to remove vertices from paths used in the route planner.,FR
Administrators shall be able to remove edges from paths used in the route planner.,FR
Administrators shall be able to add edges to paths used in the route planner.,FR
"Administrators shall be able to add POIs associated with a specific building, floor, and room number.",FR
"Administrators shall be able to remove POIs associated with a specific building, floor, and room number.",FR
"Administrators shall be able to link a POI to a specific building, floor, and room number.",FR
"Administrators shall be able to unlink a POI from a specific building, floor, and room number.",FR
System shall show titles of all news items available through the news RSS feeds on the title screen.,FR
System shall show the first lines of news articles based on the titles on the title screen.,FR
System shall display the full news report after a user chooses the corresponding news title.,FR
User shall be able to like a certain news item.,FR
User shall be able to tweet a certain news item.,FR
Administrators shall be able to modify the list of English news RSS feeds.,FR
Administrators shall be able to modify the list of Dutch news RSS feeds.,FR
System shall show upcoming events on the title screen when the agenda app is started.,FR
System shall provide a calendar view.,FR
User shall be able to open calendar view.,FR
User shall be able to close calendar view.,FR
User shall be able to change the calendar to a different month.,FR
User shall be able to see on which days events take place in calendar view.,FR
System shall be able to indicate the current day on the calendar.,FR
System shall be able to show events for a selected day in the calendar.,FR
User shall be able to search for events by date.,FR
User shall be able to search for events by subject.,FR
System shall display a set of events that match the search input by date or subject (as described in requirements UCAR406 and UCAR407).,FR
User shall be able to like a certain event.,FR
User shall be able to tweet a certain event.,FR
System shall extract only events available in the agenda app from the agenda RSS feeds in the selected language.,FR
Administrators shall be able to modify the list of agenda RSS feeds available in English.,FR
Administrators shall be able to modify the list of agenda RSS feeds available in Dutch.,FR
User shall be able to search for a person by name.,FR
User shall be able to search for a person by department.,FR
System shall be able to display a set of employees that match the search input when a user performs a search by name (as described in requirements UCAR501 and UCAR502).,FR
System shall be able to allow users to view all personal information available through the employee pages for a selected person from the search results obtained through requirement UCAR503.,FR
System shall be able to show the location of a selected employee's office on the map view.,FR
System shall be able to plan a route to the location of a selected employee's office.,FR
System shall be able to display the most searched items on the title screen when the Encyclopedia app is launched.,FR
System shall be able to display the most recent items on the title screen when the Encyclopedia app is launched.,FR
User shall be able to search the book by a certain word or phrase. ,FR
User shall be able to see a displayed set of topics when performing a search as described in requirement UCAR602.,FR
User shall be able to select a topic from the search result list.,FR
User shall be able to view the full text regarding a topic by clicking on it.,FR
User shall be able to like a certain topic.,FR
User shall be able to tweet a certain topic.,FR
User shall be able to see the most searched items on the title screen when starting the student handbook app.,FR
User shall be able to select a topic from the search results obtained through a search described in requirement UCAR702. ,FR
User shall be able to like a certain topic. ,FR
User shall be able to tweet a certain topic. ,FR
User shall be able to see the TU/e Facebook page on the title screen when starting the Facebook app.,FR
User shall be able to select other TU/e related Facebook sites from a list. ,FR
System shall show the TU/e Facebook page on the title screen when the Facebook app is started.,FR
System shall allow users to select other TU/e related Facebook sites from a list upon starting the Facebook app.,FR
Administrators shall be able to modify the list of TU/e related Facebook sites.,FR
System shall show the TU/e Twitter page on the title screen when the Twitter app is started.,FR
System shall allow users to select other TU/e related Twitter sites from a list upon starting the Twitter app (content of the list is defined in requirement UCAR903).,FR
Administrators shall be able to modify the list of TU/e related Twitter sites.,FR
Users shall be able to download the mobile application for free through an application store or similar service on the mobile phone.,FR
Users shall be able to check for new software releases and download them manually through the mobile phone.,FR
"Users shall be able to register on the mobile application by providing a username, password, and email address, with the option to provide a phone number.",FR
Users shall be able to log in to the mobile application with credentials stored on the phone for automatic future login.,FR
User shall be able to retrieve their password by email if they forget it.,FR
"Users shall be able to search for restaurants on the mobile application using various options including price, destination, restaurant type, specific dish, and free text with the ability to combine multiple options in a single search.",FR
"Users shall be able to view search results on a map with a maximum of 100 restaurants displayed, including pins with information links, a default zoom level, and a button to access filtering options.",FR
"Users shall be able to view search results in a list containing details like restaurant name, contact information, distance, price, description, links, and sort/filter the results by various criteria.",FR
"User shall be able to select a restaurant from the map or list and navigate there using the phone's GPS, then return to the search page upon arrival.",FR
Users shall be able to switch between a map view and a list view for all search options.,FR
"Users shall be able to view a detailed restaurant information page including picture, name, contact details, food type, price range, description, and menu by selecting the information link on search results.",FR
User shall be able to search for restaurants by price range (minimum and maximum) with results displayed in a list view by default.,FR
User shall be able to search for restaurants by entering a desired distance range (minimum and maximum) from their current location.,FR
"The user shall be able to search by price and destination, entering integers for their desired values, and be informed if they enter an invalid input.",FR
The user shall be able to choose a restaurant type from a list and see the results on a map.,FR
The user shall be able to choose a dish from a list and see results on a map.,FR
"The user shall be able to search for restaurants by any criteria (name, description, address, type, or menu) in a free-text field, with results shown on a map.",FR
The user shall be able to refine their search directly on the same page if their initial search yields no results.,FR
Users shall be able to sort search results by various criteria with ascending or descending order.,FR
"The user shall be able to filter search results by distance, price, restaurant type, and specific dish.",FR
"The user shall be able to edit their profile information and choose the app language (Swedish, English, Spanish, French) on the profile page.",FR
"User shall be able to register and apply for verification on the web portal by providing username, password, address, email address, and phone number.",FR
User (restaurant owner) shall be able to apply for verification after registering on the web portal.,FR
Users shall be able to log in only after receiving a confirmation email following verification of their restaurant owner application.,FR
User shall be able to log in as a restaurant owner upon successful authentication.,FR
User shall be able to reset their password by entering their email address and receiving a password reset link.,FR
The user shall be able to manage information through a web form.,FR
"The user shall be able to complete mandatory registration by providing restaurant name, address, phone number, email address, and average price.",FR
"A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number to enhance their listing.",FR
"The user shall be able to create a menu entry by providing a dish name, description, and price.",FR
"User shall be able to add restaurant information upon submitting the form, provided all mandatory fields are completed.",FR
User shall be able to add restaurant information by completing mandatory fields and optionally adding additional details.,FR
The user shall be able to delete information from their restaurant listing.,FR
The system shall allow authenticated restaurant owners to edit existing restaurant information.,FR
"The system shall be able to display content in the user's preferred language, allowing the restaurant owner to switch to English and view all text in English.",FR
The system shall be able to display content in the user's preferred language upon selection.,FR
The system shall allow the restaurant owner to select French as the preferred language for the web portal interface.,FR
The system shall allow administrators to log in with their accounts and grant them administrative privileges.,FR
"The system shall allow administrators to verify restaurant owners, granting them login access and sending confirmation emails.",FR
"The system shall allow administrators to reject restaurant owners, disabling their login and sending a rejection email.",FR
The system shall allow administrators to add new restaurant types.,FR
"The system shall allow administrators to edit restaurant types, updating the list accordingly.",FR
"The system shall allow administrators to delete restaurant types, removing them from the list.",FR
The system shall be able to add a new dish to the list upon creation by an administrator.,FR
The system shall be able to update an existing dish in the list upon edit by an administrator.,FR
The system shall allow administrators to permanently remove dishes from the list.,FR
The system shall be able to add restaurant information upon administrator login.,FR
The system shall be able to delete restaurant information upon administrator confirmation.,FR
